Name,Economy,Military,Culture,Cost
Stock,11,3,9,9
Central Bank,16,7,5,13
Shipyard,14,7,9,18
Steel Mill,13,3,7,4
Oil Refining,12,9,5,10
Warehouse,17,4,8,17
Highways,13,2,12,10
Free Trade,11,2,8,6
Tax Cuts,9,4,4,2
Subsidies,14,7,2,6
Cargo Port,12,6,8,12
Bond Market,14,6,5,10
Air Force,8,18,1,7
Naval Base,3,15,7,6
Missiles,9,15,4,7
Radar,2,15,8,5
Drone Base,3,19,4,11
Arsenal,12,13,11,16
Weapons Lab,3,17,6,10
Draft,6,15,10,17
Arms Control,9,14,5,7
Defense Pact,10,16,4,13
Spy Academy,3,15,8,8
Peace Treaty,7,16,10,11
University,3,14,9,8
Research Lab,5,6,7,5
Observatory,13,15,5,13
Space Center,2,12,16,8
Library,9,7,5,8
Data Center,12,8,8,17
Hospital,5,1,10,1
Patent Law,12,10,4,8
Open Data,7,9,6,5
Grant Fund,15,14,4,19
Medical Lab,9,10,14,16
Weather Lab,7,5,6,4
Art Museum,2,10,17,7
Film Studio,7,7,10,12
Music Hall,12,2,13,12
Opera House,3,8,14,7
Stadium,11,4,13,13
Theater,11,2,14,13
Gallery,8,3,10,8
Free Press,3,3,13,4
Arts Grant,8,2,13,7
Copyright,9,5,12,8
Dance Hall,7,6,17,17
Concert Hall,5,8,14,9
Courthouse,10,9,6,16
City Hall,4,13,5,8
Parliament,10,4,12,8
Diplomacy,12,14,4,13
Capitol,7,12,10,10
Town Hall,8,8,12,9
Civic Center,4,12,8,3
Civil Rights,8,5,9,9
Election Law,6,10,9,13
Term Limits,15,12,8,18
Tax Office,2,9,13,3
Border Post,8,12,4,5
