Name,Economy,Military,Knowledge,Culture,Politics,Cost
Stock,15,3,2,5,9,3
Central Bank,13,10,4,10,4,13
Shipyard,14,3,13,16,2,16
Steel Mill,10,5,11,4,14,8
Oil Refining,13,13,2,4,3,5
Warehouse,14,3,5,7,4,4
Highways,12,9,2,15,4,13
Free Trade,13,3,7,8,3,4
Tax Cuts,11,1,13,12,3,2
Subsidies,12,4,14,4,6,5
Cargo Port,14,8,4,4,3,4
Bond Market,12,6,9,13,2,11
Air Force,6,14,12,4,14,13
Naval Base,7,13,8,7,8,11
Missiles,11,14,19,2,2,8
Radar,6,8,9,8,2,3
Drone Base,5,10,14,7,11,11
Arsenal,8,16,3,14,3,16
Weapons Lab,8,7,3,4,3,1
Draft,4,18,10,16,9,19
Arms Control,12,15,8,8,1,10
Defense Pact,11,15,6,2,10,11
Spy Academy,6,16,4,4,8,7
Peace Treaty,9,9,14,10,4,13
University,5,14,15,13,12,18
Research Lab,2,9,13,13,10,8
Observatory,7,14,16,5,9,16
Space Center,2,9,15,15,4,9
Library,9,6,13,5,8,6
Data Center,10,4,12,11,5,8
Hospital,4,4,15,15,5,8
Patent Law,11,5,14,4,2,2
Open Data,7,10,18,4,10,13
Grant Fund,8,7,15,6,4,6
Medical Lab,8,8,14,9,5,10
Weather Lab,9,2,16,12,4,7
Art Museum,2,8,6,18,8,13
Film Studio,9,4,9,12,5,7
Music Hall,11,3,8,13,4,7
Opera House,4,4,5,17,15,15
Stadium,4,4,14,15,3,4
Theater,6,4,6,15,10,10
Gallery,15,1,3,16,2,4
Free Press,8,5,1,16,3,4
Arts Grant,6,4,2,18,8,13
Copyright,9,4,5,17,8,15
Dance Hall,2,6,10,17,9,9
Concert Hall,8,6,7,10,2,3
Courthouse,9,14,2,9,6,10
City Hall,3,9,4,3,18,2
Parliament,11,3,4,14,15,15
Diplomacy,10,7,3,5,12,5
Capitol,6,12,2,7,10,4
Town Hall,4,10,6,16,8,13
Civic Center,5,9,5,7,13,6
Civil Rights,7,3,10,11,9,7
Election Law,1,16,8,13,12,10
Term Limits,11,7,4,6,13,10
Tax Office,5,7,6,9,13,7
Border Post,8,15,6,4,12,12
