Name,Economy,Military,Knowledge,Culture,Politics,Cost
Stock,13,1,8,12,9,8
Central Bank,13,5,6,6,7,6
Shipyard,13,6,8,14,2,11
Steel Mill,14,5,9,2,14,8
Oil Refining,13,17,1,6,5,13
Warehouse,16,1,8,14,7,10
Highways,11,2,4,13,5,6
Free Trade,9,3,17,7,2,4
Tax Cuts,12,5,14,2,5,2
Subsidies,13,4,10,2,8,3
Cargo Port,14,11,4,8,4,13
Bond Market,10,8,12,6,4,7
Air Force,8,13,9,5,11,13
Naval Base,7,13,7,9,7,12
Missiles,13,12,11,1,7,5
Radar,3,14,6,11,4,5
Drone Base,4,10,11,4,13,5
Arsenal,9,16,6,16,6,19
Weapons Lab,7,17,5,3,2,3
Draft,8,13,3,15,8,17
Arms Control,7,13,6,8,6,9
Defense Pact,8,16,6,3,4,4
Spy Academy,4,9,4,8,7,2
Peace Treaty,10,11,11,10,5,14
University,7,10,11,13,11,16
Research Lab,1,6,15,13,16,6
Observatory,8,14,15,5,8,14
Space Center,5,6,13,12,4,6
Library,16,5,12,5,17,18
Data Center,10,6,12,11,10,15
Hospital,6,3,14,9,11,7
Patent Law,9,9,12,6,4,8
Open Data,8,10,15,5,12,12
Grant Fund,11,10,14,6,3,9
Medical Lab,8,10,19,10,6,19
Weather Lab,10,2,15,9,9,7
Art Museum,1,4,9,16,12,2
Film Studio,9,6,9,11,9,13
Music Hall,5,2,11,19,9,15
Opera House,4,6,7,16,11,12
Stadium,3,7,8,17,7,10
Theater,7,4,6,18,13,18
Gallery,7,3,1,18,6,8
Free Press,3,10,3,12,4,2
Arts Grant,3,8,2,18,10,12
Copyright,8,8,3,17,10,17
Dance Hall,9,3,18,15,10,18
Concert Hall,11,7,4,17,3,16
Courthouse,9,9,5,8,9,9
City Hall,5,11,5,3,11,2
Parliament,10,5,8,10,16,16
Diplomacy,9,3,1,3,13,1
Capitol,8,7,2,15,15,15
Town Hall,9,7,4,10,10,8
Civic Center,5,8,6,12,15,14
Civil Rights,6,2,7,5,10,1
Election Law,6,6,12,15,17,18
Term Limits,10,4,6,14,12,15
Tax Office,2,7,9,14,12,7
Border Post,12,9,7,4,11,10
